presentes en censos invierno (2005-2026);parcelas protocolo
A1;A1
A2;A2
A3;A3
A4;A4
A5;A5
A6;A6
A7;A7
A8;A8
Acebuche;Pajas (Acebuche)
Almajales perimetrales;Almajal-Perimetro-Pasto
B1;B1
B2;B2
B3;B3
B4;B4
B5;B5
B6;B6
B7;B7
B8;B8
Bomba de Pantomima;
Brazo de la Torre;Brazo de la Torre, Parque Natural
C0;C0
C1;C1
C2;C2
C3;C3
C4;C4
C5;C5
C6;C6
C7;C7
C8;C8
Cantarita;Cantarita
Capit n;
Caracoles (Zona Este);Caracoles Este
Caracoles (Zona Oeste);Caracoles Oeste
Carbonero MatalascaÊas;
Codo de la Esparraguera;
Cultivos de Tarfia;
Cuquero Chico;Lucio del Cuquero Chico
Cuquero Grande;Lucio del Cuquero Grande
D3;D3
D4;D4
D5;D5
D6;D6
Depuradora Loma de MartÀn Miguel;
Dulce;
E3;E3
E4;E4
El Cestero;
El Conde;
El Convento;
El Italiano;Arrozal del italiano
El Reboso;
Entremuros (Zona 1);Entremuros zona 1
Entremuros (Zona 2);Entremuros zona 2
Entremuros (Zona 3);Entremuros zona 3
Entremuros (Zona 4);Entremuros zona 4
Entremuros (Zona 5);Entremuros zona 5
Esparragosilla;Esparragosilla
Finca Los Mimbrales;Laguna de los Mimbrales
Gaveta 1;Gaveta 1
Gaveta 2;Gaveta 2
Gaveta 3;Gaveta 3
Gaveta 4;Gaveta 4
Guadiamar encauzado;Guadiamar encauzado
Guayules (norte);
Hato Blanco Nuevo;Hato Blanco nuevo
Hato Blanco Viejo;Hato Blanco viejo
Isla Menor;
La Dehesilla;La Dehesilla
La Mejorada;
La Rocina;La Rocina
Laguna de Tarelo;Laguna del Tarelo
Lagunas de Bonanza;Lagunas de Bonanza
Los Portugueses;Los Portugueses
Los Riacheros;Los Riacheros
Lucio Dehesa de Abajo;
Lucio Del BocÂn;Lucio del BocÂn
Lucio del Lobo Grande;Lucio del Lobo Grande
Lucios FAO;Lucios FAO
Malandar Zalabar;
MarilÂpez Grande;Lucio de MarilÂpez Grande
Marisma de Henares;Marisma de Henares
Marisma Gallega;Marisma gallega
Marismas Del RocÀo;Marisma del RocÀo
Mimbrales (Sur);
Olivillos;
RÀo Guadaira;
San Carlos;San Carlos
Santa Olalla;Laguna de Santa Olalla
Santa Teresa;Santa Teresa
Veta Adalid;Veta Adalid
Zalabar Carbonero;
;
;A9
;Arrozal de Tarfia
;Arrozal del Turismo
;B9
;Charco del Toro
;El Huerto
;El Taraje
;La Sanguijuela
;Laguna de los Guayules
;Laguna del Acebuche
;Laguna Dulce
;Las Pajas (RBD)
;Los Mimbrales (Parque Nacional)
;Lucio del Cortijo
;Veta hornito
;ZahÀllo
