fun_group,species,notes
wader_shall,Charadrius dubius,
wader_shall,Charadrius hiaticula,
wader_shall,Charadrius alexandrinus,
wader_shall,Pluvialis squatarola,
wader_shall,Haematopus ostralegus,
wader_shall,Actitis hypoleucos,
wader_shall,Arenaria interpres,
wader_shall,Calidris alpina,
wader_shall,Calidris minuta,
wader_shall,Calidris alba,
wader_shall,Limosa lapponica,Tamańo corporal similar a L. limosa pero agrupado con limícolas de aguas someras (Hernández-Possémé et al. enviado)
wader_shall,Calidris ferruginea,
wader_shall,Calidris pugnax,
wader_shall,Gallinago gallinago,
wader_shall,Tringa ochropus,
wader_shall,Tringa totanus,
wader_mid,Tringa erythropus,
wader_mid,Limosa limosa,
wader_mid,Numenius arquata,"Profundidad agua promedio baja  por variabilidad individual, pero gran tamańo "
wader_mid,Himantopus himantopus,
wader_mid,Recurvirostra avosetta,
wader_deep,Plegadis falcinellus,
wader_deep,Platalea leucorodia,
wader_deep,Phoenicopterus roseus,
duck_dabb,Anas platyrhynchos,
duck_dabb,Anas acuta,
duck_dabb,Anas crecca,
duck_dabb,Mareca penelope,
duck_dabb,Mareca strepera,
duck_dabb,Marmaronetta angustirostris,
duck_dabb,Spatula clypeata,
duck_dabb,Spatula querquedula,
duck_dabb,Tadorna tadorna,
duck_dive,Aythya ferina,
duck_dive,Aythya fuligula,
duck_dive,Aythya nyroca,
duck_dive,Netta rufina,
duck_dive,Oxyura leucocephala,
grazer,Anser anser,
